stabb,year,milexp,totalpop,milpers,urbanpop
AUL,1959,407003.0,10056.0,48.0,5677.0
AUL,1960,418895.0,10275.0,47.0,5852.0
AUL,1961,436189.0,10548.0,46.0,6032.0
AUL,1962,456385.0,10742.0,49.0,6238.0
AUL,1963,480812.0,10950.0,49.0,6443.0
AUL,1964,549866.0,11167.0,53.0,6677.0
AUL,1965,698889.0,11388.0,53.0,6910.0
AUL,1966,871263.0,11599.0,59.0,6897.0
AUL,1967,1014541.0,11799.0,72.0,7465.0
AUL,1968,1114710.0,12009.0,80.0,7738.0
AUL,1969,1139156.0,12263.0,82.0,8037.0
AUL,1970,1185192.0,12507.0,86.0,8135.0
AUL,1971,1204491.0,12812.0,86.0,8233.0
AUL,1972,1317515.0,13304.0,86.0,8331.0
AUL,1973,1772656.0,13505.0,71.0,8429.0
AUL,1974,2241752.0,13723.0,68.0,8527.0
AUL,1975,2422694.0,13893.0,70.0,8625.0
AUL,1976,2751572.0,14033.0,71.0,8724.0
AUL,1977,2621716.0,14192.0,70.0,9027.0
AUL,1978,2902930.0,14359.0,70.0,9330.0
AUL,1979,3101174.0,14516.0,70.0,9634.0
AUL,1980,3605227.0,14695.0,71.0,10080.0
AUL,1981,4061221.0,14743.0,72.0,10394.0
AUL,1982,4032104.0,15178.0,73.0,10382.0
AUL,1983,5460087.0,15379.0,73.0,10683.0
AUL,1984,4493023.0,15556.0,71.0,10892.0
AUL,1985,4670000.0,15788.0,70.0,11018.0
AUL,1986,4780000.0,16018.0,71.0,11281.0
AUL,1987,5400000.0,16263.0,70.0,11401.0
AUL,1988,6320000.0,16518.0,71.0,11631.0
AUL,1989,6170000.0,16814.0,70.0,11857.0
AUL,1990,7270000.0,17065.0,68.0,12083.0
AUL,1991,7570000.0,17284.0,68.0,12295.0
AUL,1992,7200000.0,17489.0,68.0,12507.0
AUL,1993,7300000.0,17667.0,68.0,12719.0
AUL,1994,7300000.0,17855.0,65.0,12931.0
AUL,1995,8399000.0,18072.0,65.0,13143.0
AUL,1996,8755000.0,18311.0,65.0,13355.0
AUL,1997,8625000.0,18532.0,65.0,13566.0
AUL,1998,7682000.0,18520.0,65.0,13778.0
AUL,1999,7775000.0,18705.0,55.0,13990.0
AUL,2000,7384000.0,18886.0,51.0,14202.0
AUL,2001,6752000.0,19413.0,51.0,14414.0
AUL,2002,9299000.0,19651.0,51.0,14626.0
AUL,2003,11529000.0,19895.0,54.0,14838.0
AUL,2004,13907000.0,20127.0,53.0,15034.0
AUL,2005,15550000.0,20395.0,52.0,15230.0
AUL,2006,17208000.0,20698.0,53.0,15509.0
AUL,2007,20216000.0,21072.0,52.0,15787.0
AUS,1955,7209.0,6947.0,15.0,2275.0
AUS,1956,38500.0,6952.0,19.0,2274.0
AUS,1957,65923.0,6966.0,23.0,2273.0
AUS,1958,76385.0,6987.0,27.0,2272.0
AUS,1959,76500.0,7014.0,31.0,2271.0
AUS,1960,72724.0,7048.0,35.0,2270.0
AUS,1961,72581.0,7086.0,38.0,2270.0
AUS,1962,80247.0,7130.0,38.0,2283.0
AUS,1963,100851.0,7176.0,75.0,2297.0
AUS,1964,131736.0,7224.0,55.0,2312.0
AUS,1965,114302.0,7271.0,55.0,2326.0
AUS,1966,134183.0,7322.0,55.0,2340.0
AUS,1967,141297.0,7371.0,60.0,2354.0
AUS,1968,145865.0,7409.0,55.0,2333.0
