statea,stateb,start,end,conttype
UKG,DEN,1945,2006,Water400
SUD,YPR,1967,1990,Water400
PNG,SOL,1978,2006,Water12
SVG,SKN,1983,2006,Water400
IND,MAL,1957,2006,Water400
EST,DEN,1991,2006,Water400
SPN,TUN,1956,2006,Water400
CUB,HAI,1934,2006,Water150
ETH,SUD,1956,2006,Land
SYR,JOR,1961,2006,Land
SYR,JOR,1946,1958,Land
KYR,CHN,1991,2006,Land
IND,THI,1947,2006,Water400
MLT,GRC,1964,2006,Water400
USA,MEX,1831,2006,Land
NIC,COS,1920,2006,Land
AAB,SKN,1983,2006,Water24
RUM,UKR,1991,2006,Land
SAU,QAT,1971,2006,Land
IRN,TUR,1855,2006,Land
IRN,SAU,1927,2006,Water150
ITA,ALB,1944,2006,Water150
